Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
Asia,Cambodia,None,2020-03-29,,0.75,-10.0,3.0,0.05,0.01,0.18447359658674473,0.1,0.1,0.0,3.0011646432411663,0.99005493346275
Africa,Cameroon,None,2020-03-29,24.480937082551975,1.25,0.07052124852087471,1.0,0.06308883009803357,0.03465602211585121,1.3384179225445214e-05,0.7364393012673984,0.1,0.15741858040672563,2.439322654368755,0.7918426398683951
North America,Canada,Alberta,2020-03-19,13.327282217972847,0.9491587575059927,-0.23906454714407294,1.0712942114150001,0.18449655523526248,0.02543743867523715,0.3538513631466807,1.9611949933398725,0.5961425571702064,0.07165215245262635,3.1389555199244463,0.7494918596158473
North America,Canada,British Columbia,2020-03-16,7.125987370977366,1.1354864767405275,-4.300412358476274,1.4702681106476176,0.10128127892290076,0.0639632267297978,0.02781021631945832,0.39530972108112916,1.28631766354345,0.05920953265004991,2.6504079692428517,0.93598145723031
North America,Canada,Manitoba,2020-03-31,4.216111807638109,0.8834922293175447,-10.0,2.7954330253569344,0.14900797142729463,0.020751677441859462,0.12993063550693312,0.1,0.7225205795947112,0.0,3.001171701085595,0.9900591344557064
North America,Canada,New Brunswick,2020-04-06,21.979688631870804,0.75,-10.0,2.804720444927685,0.05,0.01,0.20745383498179626,0.1,0.1,0.0,2.9931793609744957,0.9974113741967401
North America,Canada,Newfoundland and Labrador,2020-03-27,5.948149944930732,0.75,-10.0,3.0,0.2520491398247767,0.011711756227761883,0.5,0.1,0.6707916879540567,0.0,3.0055796044659067,1.0028919143951536
North America,Canada,Nova Scotia,2020-03-28,35.07188309389704,0.8733295118681805,-1.6650976503016481,2.417149862481668,0.05098530848492111,0.06653042843078014,0.11901060736938276,1.8107868686330395,0.1952373603333486,0.09056292431062918,2.9722484048304025,1.036820658332215
North America,Canada,Ontario,2020-03-15,110.37874287457261,0.9916113949185387,3.9618510534324045,1.6622469594307152,0.13576338073612426,0.09484535890067261,0.17326317256485363,3.8837539754939128,3.8247128030703,0.6390525086940131,3.2543453413217094,0.7767711674563322
North America,Canada,Quebec,2020-03-19,22.82704986313845,1.0613574778350412,4.460192675567397,1.1458677644753745,0.06913373171714945,0.14069672044786394,0.2254348280495996,2.5737527385380568,2.638642275137394,0.001249289517760932,3.7300303328804194,0.14371239663891489
North America,Canada,Saskatchewan,2020-03-28,14.02664149970933,0.75,4.737462739957825,1.0809541104404685,0.05,0.02252233103395157,0.32664065307818,0.1,0.1,0.0,3.784916046735015,1.4158588706740887
Africa,Central African Republic,None,2020-05-08,70.87055898615493,1.2165211441516548,-0.6500517314585058,1.1469361787202401,0.05,0.019290169438588342,0.0,0.5072603648981584,0.10339415623956061,0.030836569788254664,3.008245455096214,0.6585025896438998
Africa,Chad,None,2020-05-02,4.441946533412873,0.7534998137812131,-1.394938764370797,2.9960303226763694,0.5,0.09861459749141332,0.5,2.233941103147126,1.107021683445406,0.5305161043553921,3.0368412569345744,0.9610708874972425
South America,Chile,None,2020-03-16,224.25188808666718,0.9599743219564371,6.173568975514171,1.0329175419275571,0.05,0.025406617948398214,0.19578149684169882,4.960642280908332,5.623632546386249,1.8532441641868465,2.312644755853701,0.10000000000000009
South America,Colombia,None,2020-03-19,151.31454142596576,1.0531650451653243,2.768927016801894,1.1758098575025224,0.18942681371026865,0.04742352359837003,0.1999165271687487,3.464168070251737,3.6436994251976578,0.4383814302346276,3.059665077418879,0.10000000000000009
Africa,Comoros,None,2020-05-30,20.11876590216343,0.8674418420320172,-3.77358579398897,1.494906717611273,0.05,0.030789900446467997,0.0,0.1,0.1,0.8501081788090714,3.730597082286019,1.8095097193198146
Africa,Congo (Brazzaville),None,2020-04-15,9.033617421689625,1.25,-6.154489568401768,1.0,0.05,0.041209416743950275,0.0,0.1,0.1,0.0,3.001178094336536,0.9900700057740826
Africa,Congo (Kinshasa),None,2020-04-01,29.048992636075443,1.25,1.102127225984784,1.0,0.05,0.03574972415845645,0.12960122500786145,0.6065598665675402,0.10178397610377843,0.016230189618626323,2.190202443917887,1.4972203513539382
North America,Costa Rica,None,2020-03-21,26.718046784375307,1.25,-4.041432208053023,1.0,0.05,0.01,0.2657159285679317,0.1,0.1,0.0,7.0,0.10000000000000009
Africa,Cote d'Ivoire,None,2020-03-27,34.18017674365709,1.25,3.4132691467473038,1.0,0.13033843812558182,0.01,0.0787934142488442,0.1,0.1,0.0,3.002793014352149,0.8158718949615325
Europe,Croatia,None,2020-03-19,14.079271418976429,0.8947468130730384,0.46606406249701077,2.5033598887897375,0.053308468062171904,0.04789881490837625,0.008140184146704116,0.8303487971445032,1.873316714581036,0.019068392527183065,2.6960166492621402,0.7637101707434892
North America,Cuba,None,2020-03-28,8.127842382000532,1.0068618371069586,1.3679838131067115,1.7928261831189252,0.5,0.0438667384722832,0.22102948251161095,1.0715680779852002,0.3363250461332923,0.004898373054159855,3.022837557856264,1.3681074956385624
Europe,Cyprus,None,2020-03-23,7.010393216182553,0.8136744546161133,0.03914980907720865,2.5801783874271567,0.21476748602634926,0.018754172601829003,0.244442921453187,0.8074666112115496,0.42787295296439787,0.29680420547976194,2.8241799131378187,1.8764701618834971
Europe,Czechia,None,2020-03-13,60.169360645946014,0.75,-0.422056070013696,1.0,0.2781847246703487,0.03945538464412429,0.25201395698191487,2.773715036165434,2.5447643190180114,0.0,2.844901384874854,0.992298081911267
Europe,Denmark,None,2020-03-10,19.934136406087678,1.094166588364767,0.8991720419515588,1.4221919722578016,0.1042478951951964,0.07021162955939919,0.3758825196301909,1.4726146953092072,0.1993129987154072,0.33567708936192675,2.055139952270594,0.12130460713261293
Africa,Djibouti,None,2020-04-08,45.665076281408304,1.25,-5.041920530041091,1.0,0.05,0.015412213400427463,0.49821157970536134,0.6295380601186835,0.11329632845875981,0.005597197791003428,2.8982525820957914,4.240642491974605
North America,Dominican Republic,None,2020-03-21,25.00566624616434,1.25,2.0731465277716272,1.0,0.5,0.04519722353928664,0.4741191684618288,1.514923720056892,0.1,0.0007305518795472921,2.8182424361872265,0.6229977543614875
South America,Ecuador,None,2020-03-18,15.369776240195389,1.0668382236344582,4.207244398865232,1.1350886321680056,0.05,0.11973032305172907,0.12609232010097263,3.1143193370873385,2.338674965542644,0.20095173013567624,4.897159358513235,0.10000000000000009
Africa,Egypt,None,2020-03-14,58.01779739419338,1.25,4.4424836126806255,1.0,0.05,0.059751854576216026,0.05367753615236018,1.354423560641147,0.1,0.3225418388387471,3.124031061383773,0.8119987923217828
North America,El Salvador,None,2020-04-09,48.605631903982285,1.0532743337926356,2.1604076997411585,1.2926209285043027,0.05,0.03909359847193049,0.37623649584891994,0.31702166701927403,0.7609910288099409,1.1923169466007741,3.4451587112535202,0.13063766681440958
Africa,Equatorial Guinea,None,2020-04-24,22.571199821340937,1.25,0.3936811876508775,1.7024990031386698,0.05,0.022399790973541805,0.15980007815772246,0.10097995787131353,0.10042930102608416,0.702692461607771,1.4699042831719202,0.10000000000000009
Europe,Estonia,None,2020-03-14,21.693669984619945,1.0409666654855714,-2.5267006357197284,1.936305603590993,0.07291665937295513,0.040864819514378356,0.1863444515864704,1.9523785915422054,0.22355387074490896,0.00021254064517206572,2.9947902846341745,0.9005842673722007
Africa,Ethiopia,None,2020-04-18,65.0130314681232,1.2445726562179078,3.7017016512734346,1.0,0.05000374135022162,0.026645204660126917,0.0,0.1,0.1,0.7080303109187045,3.3688978514253582,0.22576866144547303
Europe,Finland,None,2020-03-13,40.16024412472517,0.9647292222913512,-1.8731271925299051,1.0064796732364614,0.12737773643753073,0.04922473688674045,0.030473180149076073,1.4120749968773065,0.3841289979798539,0.18454842221390155,3.2798164553228966,0.5868888245282309
Europe,France,None,2020-03-01,65.45521699660063,1.0193135505408757,9.47919818570561,1.53863357618774,0.14622119990668764,0.19199283733801042,0.162159321503917,3.924996357430276,4.910725917548808,1.160327542159478,3.1814514215654155,0.7901499355870798
Africa,Gabon,None,2020-04-17,14.761018228244794,1.105819259694829,3.3720473362142784,1.0,0.0571400518814589,0.011172276572081377,0.24341902421790332,0.381144560580867,0.10076321258885201,0.15210089038833674,3.1843696372032806,0.9650517709166166
Asia,Georgia,None,2020-03-30,7.89433548536618,1.25,-2.9901955978174444,2.2451410758064783,0.11310346902658891,0.01727892388865125,0.11453934009049835,0.7552064738265551,0.1,0.0,3.0802257789972973,1.5576550255207122
Europe,Germany,None,2020-03-01,105.82937496298707,1.0749584660953506,6.747731803019863,1.642511772929412,0.06890377041265791,0.053190742162799454,0.09144748910546091,4.13374541698657,5.298136502238096,1.4228891011275542,3.0624360187032535,1.0438012240427774
Africa,Ghana,None,2020-03-26,20.68487048917052,1.25,6.499158286847225,1.0,0.05,0.01,0.21874671544975466,0.1,0.1,0.0,2.25582717346726,0.4909719596574744
Europe,Greece,None,2020-03-13,8.392183291018881,0.9596491784015768,1.8460346448142027,1.9779407258006347,0.09168125056559417,0.06546355576368033,0.11828973636536763,1.4098520579510794,0.11035332609303339,0.0,3.0017137049755167,1.001078068227484
North America,Guatemala,None,2020-04-10,102.2726863870551,1.0494110109592847,0.2493799474351666,1.0,0.05,0.056533315345165966,0.0006385737293601867,2.8276183163510744,0.1,0.03101427559498582,3.2434579131621826,0.6371548389481243
Africa,Guinea,None,2020-04-04,20.50419889673965,1.1022296717521995,-0.2977171931267118,1.0,0.05,0.01,0.20899510954421663,0.6046886567897367,0.1678246537151482,0.10842231841831662,3.253734717905691,0.5148249378750065
Africa,Guinea-Bissau,None,2020-04-29,17.40397757483976,0.75,-5.565278940060809,1.3812945371045093,0.05,0.013486131807474641,0.0,0.1,1.070694052240658,0.0,2.5373097038349792,0.9114780286392525
South America,Guyana,None,2020-05-10,4.905935219367477,0.7632746702817841,0.22642081109844,1.0,0.24118681280975568,0.01685126710505777,0.27531179268988865,0.1,0.1,0.13149706709139597,4.828607236371336,0.10000000000000009
North America,Haiti,None,2020-05-05,8.995434546257323,1.0409789189857357,2.593742691122041,1.2467895234436526,0.317227909749597,0.017962105565468706,0.24809767305852964,2.861808342468719,2.250671087876387,0.06106429129740043,4.259230964665533,0.7417536215665177
North America,Honduras,None,2020-03-29,41.63607880444242,1.25,6.686451865381945,1.0,0.05,0.05975537202966341,0.16383045066034851,0.1,0.10311162410490304,0.0,2.930332054832,0.9809556584808401
Europe,Hungary,None,2020-03-21,19.200205089469456,1.0083036124951703,-1.793060260697135,2.117490487133924,0.05,0.1562024778591187,0.016171847844016568,3.035799687352099,2.6837653628035807,0.0,3.001066840983949,0.9904796647145946
Europe,Iceland,None,2020-03-12,25.956882141922556,0.876175248328307,-6.304818443405155,2.4132697786584245,0.05,0.01,0.20265528418693016,0.15233075557760412,1.5842204669196303,1.7766162707022386,3.1103376671955734,0.9634229252696906
Asia,India,None,2020-03-14,87.583427692903,1.25,7.085240295811874,1.0,0.05,0.04297921979362966,0.0,4.630719660312499,1.6641417971981913,0.23517140401732828,3.7359821147794117,0.14619359888139227
Asia,Indonesia,None,2020-03-15,31.150887335454378,1.25,4.850666738672954,1.0,0.05,0.09277156055216698,0.14254147486720864,1.5037839573620717,0.1,0.0747489315236276,2.1635998711575537,0.7294298678969908
Asia,Iran,None,2020-02-26,26.567687741780453,1.1473051471809141,9.9200051397487,1.0,0.4997716813044899,0.10053258930324807,0.46512199733770776,4.182980362923673,5.25360093984013,1.4579484038565163,3.0124255401389326,0.10068098501330924
Asia,Iraq,None,2020-03-13,113.85666607445167,1.25,3.983075519846211,1.0,0.05,0.04811449800874518,0.0,1.7476178202183625,0.1,0.11759859010990903,2.985614318536481,0.10000000000000009
Europe,Ireland,None,2020-03-14,42.44783716265812,1.067495451432774,2.7858560217662847,1.547459436518645,0.11351731376064053,0.07993773579863714,0.1615134333328897,3.636407115379613,2.6706493985410393,0.0,2.6147249775520014,0.9740513274324936
Asia,Israel,None,2020-03-13,31.541110185424547,1.0001925775078362,1.9896217266975222,1.571741925512645,0.13436707741834947,0.015761736827864914,5.114922537269306e-06,1.8724663323114963,3.6509110182183395,0.04064100887681432,3.5406690648251464,0.9618953278885785
Europe,Italy,None,2020-02-23,19.933196097780396,1.0636996187774697,6.906925501671859,1.279316836916126,0.15759827798835935,0.1793414716547837,0.15809525191698776,4.07573955605452,5.15371370494427,1.432643437699744,3.1943581783513206,0.6466381653652107
Africa,Jamaica,None,2020-04-15,6.993101705321772,0.9423598198402808,-6.309192166544727,2.331309234129238,0.057442974848608414,0.01,0.22506900010787592,1.303210939372475,0.3012661756063002,0.0,3.0883300108862186,1.0149142104238502
Asia,Japan,None,2020-02-21,26.258515975764062,1.25,3.317550399063255,1.0,0.05,0.0585835279873914,0.0,0.6280367718699749,0.12625552904812132,6.323592199830586e-05,3.710148747912139,0.24982576648165367
Asia,Jordan,None,2020-03-22,23.238993946546422,1.25,-9.025131462101285,1.0,0.5,0.011813152524602494,0.5,0.1,0.1,0.0,3.1772323056864202,1.1827664164237475
Asia,Kazakhstan,None,2020-03-26,36.790784141515175,1.25,7.871815223542731,1.0,0.05,0.01,0.22614292188144625,0.1,0.1,1.0664882358699936,2.237220823469943,0.10000000000000009
Africa,Kenya,None,2020-04-02,41.25764073885176,1.25,-4.50523634423427,1.0,0.05,0.03860844568805229,0.0,0.10131587407952836,0.38802177186026654,2.800293212165157,3.4826948337218644,0.11050374574468869
Asia,"Korea, South",None,2020-02-20,6.744505772830688,1.0305483844963486,-9.094998541923204,1.9884098259924958,0.051324011480291976,0.024136694479603468,2.758272527048078e-09,4.366816324466345,7.736531199386246,1.5296044531299138,0.6886979028095168,0.8613377855799222
Europe,Kosovo,None,2020-03-31,24.426579912376546,1.1664449488762947,-2.346387422863227,2.6306037193927563,0.10750351533988833,0.028717656238445383,0.2773914689030541,1.388087912599517,0.34449259062869775,0.5470465051579756,2.9702816869175934,0.31677216202206404
Asia,Kuwait,None,2020-03-14,74.55241383442187,1.25,10.0,1.0,0.05,0.011006579984888715,0.0,0.16508551114288128,0.11015696768366734,0.09574829093531312,2.5506711491982053,0.18599148954430866
Europe,Latvia,None,2020-03-20,18.07207864291457,0.7957135287689865,-7.3212890937853325,1.0001409131075927,0.05,0.027091437025016055,0.0,0.12846003248313842,0.5895494464758766,0.695341653020648,1.9438880034608057,0.6950364786287135
Asia,Lebanon,None,2020-03-15,19.984610588716514,1.25,-4.524396800141793,1.0,0.5,0.030030575724822955,0.5,0.1,0.1,0.0,2.9840008247190255,1.021680991449244
Africa,Liberia,None,2020-04-21,12.909178981103112,1.25,-5.8666447655842,1.0,0.5,0.07850049639372475,0.42316950996451486,0.1,0.1,0.0,3.1340212401610135,1.2281640037999269
Africa,Libya,None,2020-05-28,14.90977448028229,0.9820763945677967,-1.29843211440674,1.6690246231552435,0.05,0.038628068990885917,0.0,0.18962163974277235,0.7535733564000067,0.00024395154209644332,3.0053552880107315,1.3007922636177076
Europe,Lithuania,None,2020-03-22,9.047674191363228,0.8683838695891872,-1.8854199777785312,1.906928400118419,0.05,0.04685840873531233,0.05131753103423978,1.2780581505342559,0.39382894443585226,0.23398691722518938,1.9718785300390853,1.85985184289444
Europe,Luxembourg,None,2020-03-17,4.6583117313589,0.92066865477945,-8.081343530781806,2.2737690818428393,0.08293955917887469,0.027865305710198532,0.07020068001323687,4.048513961955699,4.898603970825456,0.0,2.7692755318298055,1.2788966709280407
Africa,Madagascar,None,2020-04-11,56.06355708679586,1.25,-3.8598289822391623,1.0,0.05,0.012277236477617512,0.0,0.1,0.1,0.0,3.8723103463965054,1.2530827292219815
Africa,Malawi,None,2020-05-25,18.710359699200104,0.9416305343170405,-2.1093348839077133,1.0,0.05,0.018251033128612246,0.1949939634741975,0.6951204433935043,0.42761788752415963,0.0,2.561833597164239,0.7261481232464488
Asia,Malaysia,None,2020-03-09,16.76587810715947,0.8786800288937854,-0.6042900294957829,1.0,0.5,0.018744078951694346,0.5,1.3164382190526807,1.446777802858278,0.04931773279417362,4.162930726531243,2.1065990880280197
Asia,Maldives,None,2020-04-23,33.34956484902648,0.8541553826693266,-0.4800362844539399,1.0,0.05,0.01,0.20762968455451636,1.1334567765283698,0.14465043310507308,0.034189099305340864,2.871871116005048,0.6100242792621999
Africa,Mali,None,2020-04-12,9.59396138862475,1.1880857688457604,-2.563552481564264,1.0,0.2622229105692957,0.08286542211421535,0.3847033809769854,0.6516494947035198,0.10249636662835293,0.03430001931988347,0.7275808329054403,0.12241636135115863
Europe,Malta,None,2020-03-23,9.541956846345286,1.0062218388386055,-0.5592189257206872,1.538529476068523,0.05,0.014985738127807707,0.0,0.2352787414516424,0.10306108061857344,0.0,2.7868592896174955,1.1857054394378335
Africa,Mauritania,None,2020-05-19,15.83013951082363,1.0697407319134482,0.5485031949541642,1.2013366987539438,0.08055065891792876,0.06121495226725748,0.24524640609206583,1.3165606702643928,0.35509611603542623,0.2542209220412195,2.9968456266593826,0.545319449931136
Africa,Mauritius,None,2020-03-28,3.1206643053164678,0.75,-10.0,3.0,0.5,0.025974369176630027,0.41261212475338715,0.1,1.1757105620940553,0.0,3.0054311015619657,1.0176772967290977
North America,Mexico,None,2020-03-18,80.84771969144863,1.146793195460334,6.670462990496766,1.0,0.05,0.177303255390416,0.0687234056029124,4.115658199850732,0.9185819172769545,0.2585936478429174,3.070102164252127,0.10000000000000009
Europe,Moldova,None,2020-03-23,27.487395209217762,1.1997867591415345,7.219753039131186,1.0,0.05,0.07029806575821984,0.2744011413533979,0.17780857750777823,0.10033615881223668,0.00449881054237844,3.2760795348356204,0.3893066017830944
Europe,Monaco,None,2020-06-22,4.82883646837727,0.75,-10.0,3.0,0.05,0.01,0.22693476524996536,0.1,0.1,0.0,3.007537109434422,0.9896810854713984
Asia,Mongolia,None,2020-05-16,,0.75,-10.0,1.642784097476267,0.05,0.01,0.20255400483388247,0.1,0.1,0.0,3.0012857795227355,0.9900023091830898
Europe,Montenegro,None,2020-03-31,11.41411064493322,0.75,-0.16060250260155012,2.8850515738846614,0.07862307756535555,0.022407449877339405,0.18406492415366302,0.14042085467177845,0.3845361031935415,0.15264275547767614,2.876623935087684,0.32683322886278354
Africa,Morocco,None,2020-03-22,18.448587480604978,1.0636168136236783,0.24793259319220734,1.0,0.5,0.036477009243670644,0.5,0.1814885452889179,1.1135556435994864,0.01841311750068808,2.9488814871377733,0.8311254332121722
Africa,Mozambique,None,2020-05-11,9.579133470400654,1.0154661754440362,3.051182805473034,1.2148841919786388,0.06275222904393457,0.01,0.39474217532631567,0.1,0.10168748467156696,0.0,3.3253701752654985,1.0675379961676341
Asia,Nepal,None,2020-05-07,36.847496344305945,1.25,10.0,1.0,0.05,0.01,0.20296438226872254,0.10450506231587564,0.1,0.0,0.0,0.10000000000000009
Europe,Netherlands,None,2020-03-06,50.53660000474905,0.9838310607284968,4.230021401383906,1.2420113822815988,0.2234205376669827,0.15164066732481765,0.1534562089866326,3.482000298329888,3.653987831473545,0.4541059701282486,3.1644666277592037,0.31420687256052426
Oceania,New Zealand,None,2020-03-22,35.862485874040814,0.75,-8.275252841692769,3.0,0.06351444985588744,0.015220305215607285,0.16108737399836587,2.8727778605880436,3.2001811233949775,0.234799457328005,2.7672352686447375,0.8186897346672757
North America,Nicaragua,None,2020-05-19,10.249446383580597,1.2219765319732596,-0.5379098104657087,2.760250648869092,0.5,0.030957015831339002,0.1896929261879371,1.7670922340703519,0.14265369371376213,0.013513371794813711,2.9928420584703956,1.07990401883266
Africa,Niger,None,2020-04-03,6.636143284720495,0.9288939784273257,-5.433575844790778,2.0555166220758485,0.059337413603207406,0.07884700441161199,0.32824866144717396,1.022696438992888,1.0231992773235126,0.0,3.1916009911465997,0.9194011164853926
Africa,Nigeria,None,2020-03-29,36.51573399751783,1.25,-0.7322319377568245,1.0,0.05,0.038941006181628504,0.06046046081120082,0.1,0.8581273885759328,0.0,3.220958167091975,0.10845665683499783
Europe,North Macedonia,None,2020-03-22,32.48390836863396,1.25,1.0048717677971741,1.0,0.05,0.06669585886013113,0.0,0.1,0.1,0.0,2.507151063074964,0.6726271760122544
Europe,Norway,None,2020-03-06,21.637335912844346,1.0295473937063016,-1.355390073089899,1.7916252852127301,0.07917003335618084,0.032185599043906846,0.17929278582552532,3.365237879023176,2.4530945493538696,0.2721644553581055,3.3313573032579735,0.95648888721983
Asia,Oman,None,2020-03-26,55.0163645871687,1.25,9.46421138032859,1.0,0.05,0.01,0.21927335017733957,0.1,0.1,0.0,3.8113002081381957,1.2014560334474405
Asia,Pakistan,None,2020-03-15,132.63798023856543,0.9681752974140969,4.662407446770301,1.0,0.05,0.031127398436394144,0.234133576305175,4.936671562787654,5.544425146818719,2.1567676932253823,2.313543210828972,0.10004320611349016
North America,Panama,None,2020-03-19,32.49934380833747,1.2352249076673583,3.9485668161089564,1.0,0.07667391667804366,0.03437551659355814,0.33654620478005803,0.7119058930111102,0.17364324591965996,0.016994918701366934,2.483358834182601,0.10000438495977404
South America,Paraguay,None,2020-04-05,20.59031270592428,1.2273674547861069,-2.712793600394041,1.0,0.06025396769312713,0.01,0.2911491457789915,0.1,0.1,0.0,3.0405592256306075,1.0514121073835958
